,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
0,1.0,-0.0585,0.03625,0.10525,2.41,0.68
1,1.0,0.0695,0.0015,0.02325,-3.06,-0.43
2,1.0,-0.02175,0.026,0.04075,1.42,0.28
3,1.0,0.104,0.07075,-0.00075,-3.05,0.08
4,1.0,-0.03375,0.02,0.0595,1.42,0.28
5,1.0,0.104,0.07075,-0.00075,-3.05,0.08
6,1.0,-0.02,0.03375,0.05925,1.32,0.27
7,1.0,0.019,0.06625,0.1135,-2.45,0.65
8,1.0,-0.2335,0.03875,-0.096,1.27,0.35
9,1.0,0.019,0.06625,0.1135,-2.45,0.65
10,1.0,-0.238,-0.0645,-0.042,1.19,0.38
11,1.0,0.019,0.06625,0.1135,-2.45,0.65
12,1.0,-0.238,-0.0645,-0.042,1.19,0.38
13,1.0,0.019,0.06625,0.1135,-2.45,0.65
14,1.0,-0.09,-0.03,-0.00775,1.12,0.38
15,1.0,0.019,0.06625,0.1135,-2.45,0.65
16,1.0,-0.09,-0.03,-0.00775,1.12,0.38
17,1.0,0.019,0.06625,0.1135,-2.45,0.65
18,1.0,-0.0735,-0.03925,-0.0615,1.1,0.4
19,1.0,0.019,0.06625,0.1135,-2.45,0.65
20,1.0,-0.0735,-0.03925,-0.0615,1.1,0.4
21,1.0,0.019,0.06625,0.1135,-2.45,0.65
22,1.0,-0.06475,-0.06075,-0.07625,1.09,0.42
23,1.0,0.019,0.06625,0.1135,-2.45,0.65
24,1.0,-0.06475,-0.06075,-0.07625,1.09,0.42
25,1.0,0.019,0.06625,0.1135,-2.45,0.65
26,1.0,0.02325,-0.0005,-0.0205,1.06,0.45
27,1.0,0.019,0.06625,0.1135,-2.45,0.65
28,1.0,0.02325,-0.0005,-0.0205,1.06,0.45
29,1.0,0.019,0.06625,0.1135,-2.45,0.65
30,1.0,0.042,-0.01825,-0.014,0.99,0.53
31,1.0,0.02425,0.0615,0.09075,-2.4,0.26
32,1.0,0.0455,-0.02675,0.04175,0.96,0.55
33,1.0,0.02425,0.0615,0.09075,-2.4,0.26
34,1.0,0.04925,0.00875,0.32625,0.81,0.76
35,1.0,0.02425,0.0615,0.09075,-2.4,0.26
36,1.0,0.183,-0.07275,0.4745,0.81,0.8
37,1.0,0.02425,0.0615,0.09075,-2.4,0.26
38,1.0,0.24425,-0.103,0.51225,0.83,0.84
39,1.0,0.242,0.0245,-0.03925,-2.5,-0.64
40,1.0,-0.05225,-0.08125,0.0525,0.14,1.41
41,1.0,0.242,0.0245,-0.03925,-2.5,-0.64
42,1.0,-0.064,-0.037,0.04775,0.03,1.47
43,1.0,0.242,0.0245,-0.03925,-2.5,-0.64
44,1.0,-0.09825,0.035,0.067,-0.09,1.53
45,1.0,0.02775,0.14575,-0.27575,-1.86,-1.09
46,1.0,-0.09825,0.035,0.067,-0.09,1.53
