,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
0,2.0,-0.402,0.382,0.077,-0.19,0.69
1,2.0,-0.11775,0.32675,0.08,0.09,1.99
2,2.0,-0.41775,0.41775,0.1125,-0.24,0.7
3,2.0,-0.11775,0.32675,0.08,0.09,1.99
4,2.0,-0.34425,0.36725,0.0835,-0.29,0.72
5,2.0,-0.11775,0.32675,0.08,0.09,1.99
6,2.0,-0.1845,0.29925,0.09375,-0.36,0.73
7,2.0,-0.11775,0.32675,0.08,0.09,1.99
8,2.0,-0.14975,0.31675,0.05375,-0.38,0.74
9,2.0,-0.11775,0.32675,0.08,0.09,1.99
10,2.0,-0.272,0.333,0.07075,-0.46,0.74
11,2.0,-0.11775,0.32675,0.08,0.09,1.99
12,2.0,-0.3255,0.34625,0.08975,-0.52,0.75
13,2.0,-0.11775,0.32675,0.08,0.09,1.99
14,2.0,-0.3255,0.34625,0.08975,-0.52,0.75
15,2.0,-0.11775,0.32675,0.08,0.09,1.99
16,2.0,-0.3445,0.34575,0.12825,-0.57,0.76
17,2.0,-0.11775,0.32675,0.08,0.09,1.99
18,2.0,-0.3745,0.3725,0.141,-0.69,0.78
19,2.0,-0.00425,0.277,0.0765,0.05,2.08
20,2.0,-0.3175,0.3845,0.13425,-0.71,0.78
21,2.0,-0.00425,0.277,0.0765,0.05,2.08
22,2.0,-0.3175,0.3845,0.13425,-0.71,0.78
23,2.0,-0.00425,0.277,0.0765,0.05,2.08
24,2.0,-0.233,0.33325,0.0335,-0.7,0.81
25,2.0,-0.00425,0.277,0.0765,0.05,2.08
26,2.0,-0.233,0.33325,0.0335,-0.7,0.81
27,2.0,-0.00425,0.277,0.0765,0.05,2.08
28,2.0,-0.2805,0.32125,0.08575,-0.68,0.81
29,2.0,-0.00425,0.277,0.0765,0.05,2.08
30,2.0,-0.3565,0.32775,0.11025,-0.66,0.81
31,2.0,-0.00425,0.277,0.0765,0.05,2.08
32,2.0,-0.3565,0.32775,0.11025,-0.66,0.81
33,2.0,-0.00425,0.277,0.0765,0.05,2.08
34,2.0,-0.342,0.308,0.08,-0.64,0.81
35,2.0,-0.00425,0.277,0.0765,0.05,2.08
36,2.0,-0.2785,0.39,0.061,-0.57,0.85
37,2.0,-0.00425,0.277,0.0765,0.05,2.08
38,2.0,-0.2785,0.39,0.061,-0.57,0.85
39,2.0,-0.00425,0.277,0.0765,0.05,2.08
40,2.0,-0.17725,0.337,0.07225,-0.53,0.87
41,2.0,-0.08825,0.27075,0.12025,0.04,2.15
42,2.0,-0.17725,0.337,0.07225,-0.53,0.87
43,2.0,-0.08825,0.27075,0.12025,0.04,2.15
44,2.0,-0.19375,0.31625,0.1035,-0.46,0.9
45,2.0,-0.08825,0.27075,0.12025,0.04,2.15
46,2.0,-0.4595,0.4225,0.144,-0.38,0.95
47,2.0,-0.08825,0.27075,0.12025,0.04,2.15
48,2.0,-0.4595,0.4225,0.144,-0.38,0.95
49,2.0,-0.08825,0.27075,0.12025,0.04,2.15
50,2.0,-0.51375,0.4355,0.19,-0.35,0.97
51,2.0,-0.08825,0.27075,0.12025,0.04,2.15
52,2.0,-0.4555,0.5385,0.21075,-0.27,1.02
53,2.0,-0.08825,0.27075,0.12025,0.04,2.15
54,2.0,-0.4555,0.5385,0.21075,-0.27,1.02
55,2.0,-0.08825,0.27075,0.12025,0.04,2.15
56,2.0,-0.44675,0.5375,0.193,-0.2,1.06
57,2.0,-0.08825,0.27075,0.12025,0.04,2.15
58,2.0,-0.452,0.554,0.2295,-0.14,1.1
59,2.0,-0.08825,0.27075,0.12025,0.04,2.15
60,2.0,-0.452,0.554,0.2295,-0.14,1.1
61,2.0,-0.08825,0.27075,0.12025,0.04,2.15
62,2.0,-0.2955,0.3205,0.3025,-0.07,1.13
63,2.0,-0.08825,0.27075,0.12025,0.04,2.15
64,2.0,-0.07775,0.073,0.3405,0.03,1.13
65,2.0,-0.08825,0.27075,0.12025,0.04,2.15
66,2.0,0.023,0.262,0.35875,0.15,1.12
67,2.0,0.07825,0.23025,-0.01425,-0.14,2.04
