,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
106,0.0,-0.00225,-0.00425,0.04025,0.2,0.12
107,0.0,-0.002,0.00875,0.069,0.07,-0.07
108,0.0,-0.00575,0.0115,0.06975,0.2,0.12
109,0.0,-0.002,0.00875,0.069,0.07,-0.07
110,0.0,0.00775,-0.02,0.05825,0.2,0.12
111,0.0,-0.002,0.00875,0.069,0.07,-0.07
112,0.0,0.00775,-0.02,0.05825,0.2,0.12
113,0.0,-0.002,0.00875,0.069,0.07,-0.07
114,0.0,0.01275,-0.024,0.04275,0.2,0.11
115,0.0,-0.002,0.00875,0.069,0.07,-0.07
116,0.0,0.01275,-0.024,0.04275,0.2,0.11
117,0.0,-0.002,0.00875,0.069,0.07,-0.07
118,0.0,0.00525,-0.017,0.06125,0.2,0.11
119,0.0,0.01475,0.012,0.04675,0.13,-0.05
120,0.0,-0.031,0.00125,0.028,0.2,0.11
121,0.0,0.01475,0.012,0.04675,0.13,-0.05
122,0.0,0.01125,-0.0125,0.03875,0.19,0.11
123,0.0,0.01475,0.012,0.04675,0.13,-0.05
124,0.0,0.01125,-0.0125,0.03875,0.19,0.11
125,0.0,0.01475,0.012,0.04675,0.13,-0.05
126,0.0,0.007,0.009,0.06425,0.19,0.11
127,0.0,0.01475,0.012,0.04675,0.13,-0.05
128,0.0,-0.00475,0.01,0.05425,0.18,0.11
129,0.0,0.01475,0.012,0.04675,0.13,-0.05
130,0.0,-0.006,0.0145,0.07375,0.17,0.12
131,0.0,0.01475,0.012,0.04675,0.13,-0.05
132,0.0,0.00425,0.0035,0.06425,0.17,0.12
133,0.0,0.01475,0.012,0.04675,0.13,-0.05
134,0.0,0.008,0.0285,0.05475,0.17,0.12
135,0.0,0.01475,0.012,0.04675,0.13,-0.05
136,0.0,0.008,0.0285,0.05475,0.17,0.12
137,0.0,0.01475,0.012,0.04675,0.13,-0.05
138,0.0,0.0,0.00975,0.03325,0.17,0.13
139,0.0,0.01475,0.012,0.04675,0.13,-0.05
140,0.0,0.0,0.00975,0.03325,0.17,0.13
141,0.0,0.01475,0.012,0.04675,0.13,-0.05
142,0.0,0.0,0.00975,0.03325,0.17,0.13
143,0.0,0.01475,0.012,0.04675,0.13,-0.05
144,0.0,-0.00475,0.00925,0.04575,0.17,0.13
145,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
146,0.0,-0.00475,0.00925,0.04575,0.17,0.13
147,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
148,0.0,0.0025,0.006,0.03875,0.17,0.13
149,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
150,0.0,0.0035,-0.00075,0.04025,0.17,0.13
151,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
152,0.0,0.0035,-0.00075,0.04025,0.17,0.13
153,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
154,0.0,0.00725,0.001,0.05975,0.17,0.12
155,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
156,0.0,0.01825,-0.008,0.05325,0.18,0.12
157,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
158,0.0,0.01825,-0.008,0.05325,0.18,0.12
159,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
160,0.0,-0.00575,-0.001,0.03725,0.18,0.12
161,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
162,0.0,0.002,0.0055,0.04825,0.18,0.12
163,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
164,0.0,0.025,-0.00175,0.04475,0.19,0.12
165,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
166,0.0,0.0325,0.0035,0.05075,0.19,0.13
167,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
168,0.0,0.0325,0.0035,0.05075,0.19,0.13
169,0.0,-0.00925,0.02225,0.0775,0.1,-0.05
170,0.0,0.01775,-0.014,0.06975,0.2,0.13
171,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
172,0.0,0.01775,-0.014,0.06975,0.2,0.13
173,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
174,0.0,0.02625,-0.00275,0.07025,0.2,0.13
175,0.0,-0.01375,0.01125,0.0275,0.09,-0.07
