,activity,x-accel,y-accel,z-accel,y-gyr,z-gyr
109,0.0,-0.01975,-0.0045,0.0485,-0.07,0.59
110,0.0,0.023,-0.032,0.03525,-0.03,0.27
111,0.0,-0.01975,-0.0045,0.0485,-0.07,0.59
112,0.0,-0.0065,-0.054,0.02975,-0.03,0.27
113,0.0,-0.01975,-0.0045,0.0485,-0.07,0.59
114,0.0,-0.0065,-0.054,0.02975,-0.03,0.27
115,0.0,-0.01975,-0.0045,0.0485,-0.07,0.59
116,0.0,0.014,-0.0525,0.03675,-0.03,0.26
117,0.0,-0.0325,0.0005,0.0425,-0.06,0.58
118,0.0,-0.001,-0.056,0.04675,-0.03,0.25
119,0.0,-0.0325,0.0005,0.0425,-0.06,0.58
120,0.0,0.0165,-0.0325,0.01125,-0.03,0.24
121,0.0,-0.0325,0.0005,0.0425,-0.06,0.58
122,0.0,0.01575,-0.023,0.04625,-0.03,0.23
123,0.0,-0.018,0.013,0.02425,-0.07,0.57
124,0.0,0.01725,-0.0385,0.04525,-0.03,0.23
125,0.0,-0.018,0.013,0.02425,-0.07,0.57
126,0.0,-0.0155,-0.0235,0.02875,-0.03,0.22
127,0.0,-0.018,0.013,0.02425,-0.07,0.57
128,0.0,0.00125,-0.03325,0.05575,-0.03,0.22
129,0.0,-0.018,0.013,0.02425,-0.07,0.57
130,0.0,-0.01625,-0.041,0.04625,-0.03,0.2
131,0.0,-0.00925,0.017,0.08525,-0.06,0.54
132,0.0,-0.0075,-0.03525,0.06225,-0.03,0.2
133,0.0,-0.00925,0.017,0.08525,-0.06,0.54
134,0.0,-0.0005,-0.053,0.01575,-0.04,0.16
135,0.0,-0.0125,0.011,0.05775,-0.06,0.57
136,0.0,-0.003,-0.0285,0.03875,-0.04,0.15
137,0.0,-0.0125,0.011,0.05775,-0.06,0.57
138,0.0,0.0015,-0.051,0.02325,-0.04,0.15
139,0.0,-0.0125,0.011,0.05775,-0.06,0.57
140,0.0,-0.01375,-0.015,0.03275,-0.04,0.15
141,0.0,-0.0125,0.011,0.05775,-0.06,0.57
142,0.0,-0.0095,-0.015,0.02625,-0.04,0.15
143,0.0,-0.0125,0.011,0.05775,-0.06,0.57
144,0.0,-0.0095,-0.015,0.02625,-0.04,0.15
145,0.0,-0.0125,0.011,0.05775,-0.06,0.57
146,0.0,0.00475,-0.0395,0.03075,-0.03,0.15
147,0.0,0.00725,-0.00825,0.0605,-0.06,0.56
148,0.0,0.00025,-0.013,0.00725,-0.03,0.14
149,0.0,0.00725,-0.00825,0.0605,-0.06,0.56
150,0.0,-0.0045,-0.0285,0.03425,-0.03,0.14
151,0.0,0.00725,-0.00825,0.0605,-0.06,0.56
152,0.0,0.0095,-0.031,0.03675,-0.03,0.13
153,0.0,0.00725,-0.00825,0.0605,-0.06,0.56
154,0.0,0.01125,-0.03475,0.05625,-0.03,0.11
155,0.0,-0.0105,0.006,0.058,-0.06,0.53
156,0.0,0.00225,-0.027,0.03675,-0.03,0.1
157,0.0,-0.0105,0.006,0.058,-0.06,0.53
158,0.0,0.00475,-0.0545,0.02725,-0.03,0.1
159,0.0,-0.0105,0.006,0.058,-0.06,0.53
160,0.0,0.00925,-0.031,0.04325,-0.03,0.1
161,0.0,-0.0105,0.006,0.058,-0.06,0.53
162,0.0,-0.00675,-0.02775,0.05725,-0.03,0.1
163,0.0,-0.005,0.016,0.05875,-0.06,0.54
164,0.0,0.01775,-0.02775,0.05275,-0.03,0.1
165,0.0,-0.005,0.016,0.05875,-0.06,0.54
166,0.0,0.01825,-0.02025,0.04675,-0.03,0.09
167,0.0,-0.005,0.016,0.05875,-0.06,0.54
168,0.0,0.00375,-0.017,0.04125,-0.03,0.09
169,0.0,-0.005,0.016,0.05875,-0.06,0.54
170,0.0,-0.01275,-0.022,0.04625,-0.03,0.08
171,0.0,-0.005,0.016,0.05875,-0.06,0.54
172,0.0,-0.01275,-0.022,0.04625,-0.03,0.08
173,0.0,-0.005,0.016,0.05875,-0.06,0.54
174,0.0,-0.01025,-0.0175,0.05125,-0.03,0.08
175,0.0,-0.005,0.016,0.05875,-0.06,0.54
176,0.0,0.00525,-0.02275,0.04975,-0.03,0.08
177,0.0,-0.005,0.016,0.05875,-0.06,0.54
178,0.0,0.00525,-0.02275,0.04975,-0.03,0.08
179,0.0,-0.005,0.016,0.05875,-0.06,0.54
180,0.0,-0.00175,-0.021,0.03625,-0.03,0.06
181,0.0,0.0065,0.01825,0.04775,-0.05,0.52
182,0.0,0.00075,-0.0435,0.04525,-0.03,0.06
183,0.0,0.0065,0.01825,0.04775,-0.05,0.52
184,0.0,0.02725,-0.04325,0.06875,-0.03,0.06
185,0.0,0.0065,0.01825,0.04775,-0.05,0.52
186,0.0,-0.00825,-0.0265,0.01175,-0.02,0.05
187,0.0,0.0065,0.01825,0.04775,-0.05,0.52
188,0.0,-0.00675,-0.039,0.03425,-0.03,0.05
